,reviews
497,I could not sleep. It was noisey from 2:40 An until 4:05 AM. The bathroom floors needed to be cleaned.
498,Managers were great. However maid service was lacking. Had to request service. When we did receive service it was poor. Also had to constantly get room key reprogramed.
499,Our room was musty and it stunk to high heaven. Do not recommend this place. The building was old and dirty. Bad experience
500,"I was a bit concerned after checking the rating of this hotel, but was so pleasantly surprised when I got there. I was basically there for a medical visit and it seemed like so were a lot of other people, but we would totally stay there if we were just visiting Houston. My mom checked in for me since I... More"
501,My friends and I enjoyed the hotel. The staff was helpful and got us set up with a nice taxi service. The room serves its purpose of a place to get ready for a concert and then come back late and get some good sleep before heading home.
502,great value quiet clean and comfortable
503,"This hotel is the best bang for your buck in Columbia. Great location, very clean, very nice staff and rooms are large and come with a microwave,fridge and coffee pot. It's older but redecroated rooms make it feel like home. I have 2 kids going to school in Columbia and when I come to visit I always check to see if this hotel has the best deal and it usually does. I stay here whenever I can, highly recommend for the price."
504,"I won't stay at a Howard Johnson again. Had to be moved to a different room cause the key card wouldn't work. Asked for a non smoking room and room used to be a smoking room. It smelled like an ash tray, bedding had burn holes in it. Staff was very nice and helpful but was a very nasty feeling in either room. The second room didn't smell like an ash tray but did have a weird funk to it. There were random hairs find in the room. The ac was having a hard time keeping up on a 75day. Key cards had to be redone multiple times. Shower curtain was thin so water got all over the floor. Pillows were the size of my hand. All in all not a relaxing stay."
505,It was fine. My only complaint (which is minor) is that the bathroom didn't have shampoo (and instead had two conditioner tubes).
506,It was fine for our purposes and we would stay there again.
507,"Friendly staff, clean room. Good breakfast."
508,"Older hotel but very clean, breakfast had good selection and attendant kept area clean. We would stay again"
509,Clean room and nice breakfast
510,"We selected the hotel because of the price and it was to include breakfast. The breakfast was to be available beginning at 6:00 am. We went at 6:00, 6:20 and then again at 6:40. The room was dark and there was no food. We asked the desk clerk and he said that the staff didn't come to prepare the food. We left. I can't recommend Howard Johnson to my friends, family or co-workers and I do not plan on using Howard Johnson again."
511,"We stay here each time my husband has a medical appt in Houston and they do offer medical rates if you ask. It is near medical center off of Main St. Very quiet and very clean large rooms. Several eating places within walking distance. Offers medical center shuttle also. The pool is very small, but we don't use that anyways... More"
